"","indiv_id","sex","genome1_id","genome2_id","x","y","age"
"1","p1:i2153","H","p1:4306","p1:4307",12.6051646544168,6.16776989508046,0
"2","p1:i2407","H","p1:4814","p1:4815",9.92368251743157,16.251606112385,0
"3","p1:i1030","H","p1:2060","p1:2061",14.443396024708,16.0628994417769,4
"4","p1:i397","H","p1:794","p1:795",1.68107303489061,24.7479832567573,10
"5","p1:i987","H","p1:1974","p1:1975",3.64340901505926,6.85220516400288,5
"6","p1:i751","H","p1:1502","p1:1503",16.5461046429286,24.0580259297954,6
"7","p1:i1887","H","p1:3774","p1:3775",12.6407694937209,21.4589547799919,1
"8","p1:i1693","H","p1:3386","p1:3387",21.1623913661149,4.8262658074976,2
"9","p1:i948","H","p1:1896","p1:1897",5.0777427581892,15.3680108591139,5
"10","p1:i215","H","p1:430","p1:431",21.3111338017552,21.0416481516427,13
"11","p1:i1769","H","p1:3538","p1:3539",13.3153881261341,7.97747706522706,2
"12","p1:i2559","H","p1:5118","p1:5119",21.6453703022704,5.71222956684899,0
"13","p1:i1831","H","p1:3662","p1:3663",17.1605918659004,5.08993221532982,1
"14","p1:i2128","H","p1:4256","p1:4257",14.4869283918344,19.213962488751,1
"15","p1:i691","H","p1:1382","p1:1383",17.9774277842111,13.202963876575,7
"16","p1:i1092","H","p1:2184","p1:2185",15.3813384952271,18.9852616373918,4
"17","p1:i1679","H","p1:3358","p1:3359",4.05904194922759,10.9580627912252,2
"18","p1:i1989","H","p1:3978","p1:3979",24.0463879368195,1.80240026745935,1
"19","p1:i552","H","p1:1104","p1:1105",17.4719632313035,12.3076480558481,8
"20","p1:i2039","H","p1:4078","p1:4079",7.15382514847214,21.8754615241826,1
"21","p1:i1397","H","p1:2794","p1:2795",18.1399287906923,10.9422306802081,3
"22","p1:i2006","H","p1:4012","p1:4013",0.634514922752506,5.35232107741559,1
"23","p1:i185","H","p1:370","p1:371",3.15480105368052,13.4559011493285,14
"24","p1:i1641","H","p1:3282","p1:3283",21.2194405124534,11.1875599163338,2
"25","p1:i437","H","p1:874","p1:875",17.2958035407986,23.2898820439808,9
"26","p1:i2420","H","p1:4840","p1:4841",19.0797393030678,19.8807697285148,0
"27","p1:i1398","H","p1:2796","p1:2797",16.4876991074149,1.1902504952804,3
"28","p1:i803","H","p1:1606","p1:1607",11.6146047436571,4.31472599425055,6
"29","p1:i716","H","p1:1432","p1:1433",10.0641434170243,9.50207914988312,6
"30","p1:i657","H","p1:1314","p1:1315",11.832889947318,0.604966314108935,7
"31","p1:i866","H","p1:1732","p1:1733",12.5014807360298,22.0859545998521,5
"32","p1:i2110","H","p1:4220","p1:4221",20.0179478745171,15.0111904656583,1
"33","p1:i300","H","p1:600","p1:601",10.8853415478001,7.68934836734211,11
"34","p1:i2380","H","p1:4760","p1:4761",23.6161082842656,12.9011958012897,0
"35","p1:i1148","H","p1:2296","p1:2297",17.1245213574929,1.26846161782149,4
"36","p1:i739","H","p1:1478","p1:1479",6.77378814715201,11.2041175932479,6
"37","p1:i1270","H","p1:2540","p1:2541",2.87983232176491,2.44300445300635,3
"38","p1:i1951","H","p1:3902","p1:3903",5.83770949777467,6.71486872025361,1
"39","p1:i1998","H","p1:3996","p1:3997",12.0034402006926,8.35797943044352,1
"40","p1:i1164","H","p1:2328","p1:2329",20.9626287076424,4.68021917460084,4
"41","p1:i1683","H","p1:3366","p1:3367",1.25315022352485,22.3006544322666,2
"42","p1:i1637","H","p1:3274","p1:3275",17.1965886243572,23.7450867599235,2
"43","p1:i177","H","p1:354","p1:355",19.5234871727662,7.68364729605603,15
"44","p1:i1483","H","p1:2966","p1:2967",7.84344127713,0.843038084922177,2
"45","p1:i1009","H","p1:2018","p1:2019",2.16461511877191,4.65237144672679,4
"46","p1:i1645","H","p1:3290","p1:3291",21.7551908451163,1.98143905858175,2
"47","p1:i2232","H","p1:4464","p1:4465",14.9773725700392,24.8296970041815,0
"48","p1:i1385","H","p1:2770","p1:2771",13.480652701987,16.4410843715241,3
"49","p1:i2568","H","p1:5136","p1:5137",22.8906597443426,22.2720626444,0
"50","p1:i2213","H","p1:4426","p1:4427",19.6780694997505,14.2315607047937,0
"51","p1:i2089","H","p1:4178","p1:4179",14.4083991174482,10.3670353365065,1
"52","p1:i2218","H","p1:4436","p1:4437",0.923911343633237,9.72435313355418,0
"53","p1:i1510","H","p1:3020","p1:3021",21.407971572817,20.8726145329569,2
"54","p1:i1263","H","p1:2526","p1:2527",6.87391906145448,6.33019488331619,3
"55","p1:i2175","H","p1:4350","p1:4351",10.4224029031701,8.56344384289158,0
"56","p1:i1712","H","p1:3424","p1:3425",12.1204743468651,11.9635706824268,2
"57","p1:i1111","H","p1:2222","p1:2223",21.7567971273367,6.64098102570068,4
"58","p1:i959","H","p1:1918","p1:1919",20.1561297399188,15.068739852758,5
"59","p1:i1427","H","p1:2854","p1:2855",18.2305010792087,6.26357057779233,3
"60","p1:i1579","H","p1:3158","p1:3159",11.7071473471916,7.09531304129501,2
"61","p1:i1128","H","p1:2256","p1:2257",4.24167521537109,1.87125912896395,4
"62","p1:i461","H","p1:922","p1:923",20.948622551778,3.15063108476507,9
"63","p1:i1294","H","p1:2588","p1:2589",12.267448690428,3.4205290927518,3
"64","p1:i2459","H","p1:4918","p1:4919",22.4979249617529,14.4967938965725,0
"65","p1:i1509","H","p1:3018","p1:3019",9.58996457761481,4.13354322561555,2
"66","p1:i917","H","p1:1834","p1:1835",13.9426932610476,12.426938123878,5
"67","p1:i173","H","p1:346","p1:347",10.9854334883187,16.7896656667553,15
"68","p1:i2216","H","p1:4432","p1:4433",13.8391467922407,7.31576532275998,0
"69","p1:i1540","H","p1:3080","p1:3081",15.1081839781219,0.790120171202016,2
"70","p1:i2418","H","p1:4836","p1:4837",20.5870405501382,14.5225969343025,0
"71","p1:i794","H","p1:1588","p1:1589",21.7612443360122,11.4300134299231,6
"72","p1:i1507","H","p1:3014","p1:3015",15.6657925681693,23.9905515229865,2
"73","p1:i2371","H","p1:4742","p1:4743",4.42586718102782,4.97645240222313,0
"74","p1:i469","H","p1:938","p1:939",9.5995056608277,1.6572355945098,9
"75","p1:i1968","H","p1:3936","p1:3937",18.4808232928205,16.4439239489178,1
"76","p1:i1287","H","p1:2574","p1:2575",19.2475963638922,19.7141708380365,3
"77","p1:i2382","H","p1:4764","p1:4765",24.3360255531831,22.942050069345,0
"78","p1:i1407","H","p1:2814","p1:2815",0.316136958672509,23.520253097804,3
"79","p1:i1709","H","p1:3418","p1:3419",22.9770884145011,19.6979802751259,2
"80","p1:i1717","H","p1:3434","p1:3435",2.32477159192448,15.3859811679738,2
"81","p1:i1040","H","p1:2080","p1:2081",17.8459357056775,13.9472742670754,4
"82","p1:i1275","H","p1:2550","p1:2551",8.27506718644614,19.3047663095442,3
"83","p1:i2246","H","p1:4492","p1:4493",3.64515100838088,6.32365546074342,0
"84","p1:i601","H","p1:1202","p1:1203",11.4424528273563,12.0459130803826,7
"85","p1:i1742","H","p1:3484","p1:3485",17.984592237303,19.8857969070594,2
"86","p1:i954","H","p1:1908","p1:1909",3.13215309613264,4.41503519228004,5
"87","p1:i2462","H","p1:4924","p1:4925",14.725731500049,4.00596505607144,0
"88","p1:i720","H","p1:1440","p1:1441",9.18925695751318,15.5690043809268,6
"89","p1:i1218","H","p1:2436","p1:2437",14.1707861013608,0.925571348539607,4
"90","p1:i1438","H","p1:2876","p1:2877",6.65872252747939,13.6898281787895,3
"91","p1:i1900","H","p1:3800","p1:3801",12.0579385549421,7.52738751316164,1
"92","p1:i619","H","p1:1238","p1:1239",23.1839041017588,2.70315416198394,7
"93","p1:i1304","H","p1:2608","p1:2609",19.8888371325016,17.5379731868173,3
"94","p1:i689","H","p1:1378","p1:1379",23.6023087752125,15.7212549566154,7
"95","p1:i1306","H","p1:2612","p1:2613",0.444764726787093,4.26750890124319,3
"96","p1:i2384","H","p1:4768","p1:4769",10.7636539165826,6.53397632388985,0
"97","p1:i2573","H","p1:5146","p1:5147",10.9258727936713,18.9142097008013,0
"98","p1:i2176","H","p1:4352","p1:4353",22.1390828486319,7.03858626384223,0
"99","p1:i726","H","p1:1452","p1:1453",1.06850864640494,4.99750472082425,6
"100","p1:i1702","H","p1:3404","p1:3405",9.90214634490932,16.3077230889306,2
"101","p1:i1182","H","p1:2364","p1:2365",5.86460599548445,15.4727241357915,4
"102","p1:i2298","H","p1:4596","p1:4597",7.74657117916573,8.47374953074524,0
"103","p1:i1060","H","p1:2120","p1:2121",1.3358813319187,10.8095666374945,4
"104","p1:i1486","H","p1:2972","p1:2973",22.9480732086444,21.4957997764261,2
"105","p1:i1322","H","p1:2644","p1:2645",17.4370689245467,1.76044684312902,3
"106","p1:i2562","H","p1:5124","p1:5125",13.4373920672685,2.97081325488301,0
"107","p1:i783","H","p1:1566","p1:1567",16.3119514836972,8.83785412812696,6
"108","p1:i2103","H","p1:4206","p1:4207",14.5780400124822,17.2863305653998,1
"109","p1:i2169","H","p1:4338","p1:4339",5.54165628619772,20.6269555441539,0
"110","p1:i1054","H","p1:2108","p1:2109",4.26094787402279,22.4021775143001,4
"111","p1:i2193","H","p1:4386","p1:4387",20.9111131278593,1.01286849182217,0
"112","p1:i995","H","p1:1990","p1:1991",13.0519207060305,17.052150980973,5
"113","p1:i2013","H","p1:4026","p1:4027",21.0338418839586,7.9378088828843,1
"114","p1:i459","H","p1:918","p1:919",21.0669246812524,2.65241027276141,9
"115","p1:i2505","H","p1:5010","p1:5011",7.74115191256938,1.58823528782756,0
"116","p1:i1788","H","p1:3576","p1:3577",13.8943551182233,3.97860539863132,1
"117","p1:i1436","H","p1:2872","p1:2873",4.82325126430177,8.71586500825775,3
"118","p1:i2242","H","p1:4484","p1:4485",19.0640234875738,13.3414675679981,0
"119","p1:i906","H","p1:1812","p1:1813",24.2474270519802,11.0666376150764,5
"120","p1:i1166","H","p1:2332","p1:2333",3.58077822850998,7.07917925838504,4
"121","p1:i1171","H","p1:2342","p1:2343",23.1655180887663,7.76109652229136,4
"122","p1:i136","H","p1:272","p1:273",6.78118681571968,7.81923527603378,16
"123","p1:i2494","H","p1:4988","p1:4989",10.5014380360237,7.09381918920509,0
"124","p1:i795","H","p1:1590","p1:1591",17.9271283312295,21.4936713112557,6
"125","p1:i1159","H","p1:2318","p1:2319",3.47697005366209,11.6227630337623,4
"126","p1:i517","H","p1:1034","p1:1035",3.77601753328731,3.02155112907035,8
"127","p1:i1757","H","p1:3514","p1:3515",11.6555002647832,10.5037803314777,2
"128","p1:i1465","H","p1:2930","p1:2931",22.9943912179801,3.24527413010905,3
"129","p1:i2305","H","p1:4610","p1:4611",15.078137542032,13.2202314288551,0
"130","p1:i1876","H","p1:3752","p1:3753",7.33157544530867,7.28678048985443,1
"131","p1:i529","H","p1:1058","p1:1059",15.7865306985449,24.3606107080385,8
"132","p1:i1858","H","p1:3716","p1:3717",12.8870112427959,12.7143419125616,1
"133","p1:i1817","H","p1:3634","p1:3635",3.93784492528391,11.722049650656,1
"134","p1:i1049","H","p1:2098","p1:2099",9.1452995292321,17.6136790483427,4
"135","p1:i1334","H","p1:2668","p1:2669",2.17013037819901,12.1974062190885,3
"136","p1:i1658","H","p1:3316","p1:3317",18.0586017036509,23.7430881467026,2
"137","p1:i1498","H","p1:2996","p1:2997",5.58750066918151,19.4458284984034,2
