"SNPpos","SNPeff"
16107,0
154168,0
161437,0
214944,0
232155,0
277252,0
322321,0
399180,0
453607,0
461005,0
516600,0
524974,0
551892,0
633532,0
653118,0
722204,0
763071,0
817148,0
832814,0
879179,0
913886,0
1119130,0
1185660,0
1230525,0
1404438,0
1503771,0
1538548,0
1626605,0
1690840,0
1718800,0
1799098,0
1962735,0
1971436,0
2004261,0
2145619,0
2225296,0
2270834,0
2305340,0
2386715,0
2422648,0
2439984,0
2515300,0
2546359,0
2564526,0
2621234,0
2705995,0
2722553,0
2800372,0
2825431,0
2854442,0
2892230,0
2997936,0
3001058,0
3014988,0
3097742,0
3118841,0
3173770,0
3207460,0
3399788,0
3494017,0
3574993,0
3620690,0
3669615,0
3761065,0
3771094,0
3841436,0
3887051,0
3941890,0
4049846,0
4070642,0
4206465,0
4215760,0
4258902,0
4344714,0
4431257,0
4494030,0
4610390,0
4710104,0
4733229,0
4861696,0
4892600,0
4961230,0
4999525,0
5001222,0
5043930,0
5125612,0
5161721,0
5167462,0
5204495,0
5260073,0
5323396,0
5333459,0
5398255,0
5431105,0
5441589,0
5590328,0
5606499,0
5704494,0
5823108,0
5852119,0
5895802,0
5975304,0
5999163,0
6013375,0
6075571,0
6096549,0
6130000,0
6160821,0
6236982,0
6289658,0
6298688,0
6325681,0
6359750,0
6423707,0
6485014,0
6506564,0
6550431,0
6558437,0
6582622,0
6652538,0
6696981,0
6801256,0
6813544,0
6836071,0
6913153,0
6926268,0
7065596,0
7088954,0
7221340,0
7230302,0
7250504,0
7337175,0
7376984,0
7391580,0
7432377,0
7486038,0
7549584,0
7632616,0
7663867,0
7698265,0
7708860,0
7784208,0
7826385,0
7863514,0
7907401,0
8008818,0
8058021,0
8072868,0
8113115,0
8345916,0
8410976,0
8420357,0
8488058,0
8507997,0
8532496,0
8559420,0
8602933,0
8649503,0
8655700,0
8718386,0
8791547,0
8803480,0
8842518,0
8894064,0
8906175,0
8995392,0
9014249,0
9061641,0
9180578,0
9192728,0
9279473,0
9320731,0
9331172,0
9366211,0
9405778,0
9507072,0
9573710,0
9655240,0
9676480,0
9707387,0
9792914,0
9821791,0
9844168,0
9849457,0
9900315,0
9923197,0
9968098,0
9973800,0
9995611,0
10025112,0
10059535,0
10137290,0
10206413,0
10218634,0
10498578,0
10514583,0
10563322,0
10665351,0
10676293,0
10697564,0
10758502,0
10773865,0
10806258,0
10912949,0
10957698,0
11056932,0
11145609,0
11189221,0
11253601,0
11403711,0
11442602,0
11459068,0
11536002,0
11609193,0
11624390,0
11637703,0
11673994,0
11713024,0
11799652,0
11823656,0
11848037,0
11910523,0
11937104,0
12006772,0
12080834,0
12117014,0
12138760,0
12150750,0
12174222,0
12206727,0
12475461,0
12502527,0
12550675,0
12583957,0
12680329,0
12758807,0
12791972,0
12864638,0
12900221,0
12904648,0
13034855,0
13091363,0
13105594,0
13161597,0
13213463,0
13247067,0
13344620,0
13370034,0
13380419,0
13428577,0
13499058,0
13522898,0
13562879,0
13577380,0
13621757,0
13666925,0
13708644,0
13772248,0
13827509,0
13946398,0
14018874,0
14050414,0
14081302,0
14110607,0
14159403,0
14174144,0
14211845,0
14234183,0
14246870,0
14349266,0
14433778,0
14491015,0
14501369,0
14519620,0
14535476,0
14544214,0
14621291,0
14643276,0
14717190,0
14815147,0
14895902,0
14955879,0
15071559,0
15097747,0
15129631,0
15176412,0
15231562,0
15279079,0
15306002,0
15399271,0
15424548,0
15481534,0
15551590,0
15564865,0
15610131,0
15657054,0
15693469,0
15730652,0
15871812,0
16089337,0
16111242,0
16214731,0
16221340,0
16341419,0
16388743,0
16521461,0
16651772,0
16663608,0
16673869,0
16794865,0
16893648,0
16917475,0
16939035,0
17037251,0
17117982,0
17144566,0
17187781,0
17195936,0
17230459,0
17236595,0
17285627,0
17378545,0
17442322,0
17483011,0
17539155,0
17605332,0
17625160,0
17646390,0
17699266,0
17794343,0
17838494,0
17915339,0
17936479,0
17999396,0
18146129,0
18171322,0
18218850,0
18255452,0
18291409,0
18316201,0
18410284,0
18426461,0
18520602,0
18527703,0
18565298,0
18578527,0
18653832,0
18732286,0
18894986,0
18929601,0
18981824,0
19008271,0
19068202,0
19111539,0
19141641,0
19172135,0
19220329,0
19327373,0
19408103,0
19465933,0
19502588,0
19566006,0
19592765,0
19664207,0
19677257,0
19752344,0
19772330,0
19800037,0
19929537,0
20009850,0
20106606,0
20155625,0
20233282,0
20249896,0
20309430,0
20385729,0
20473319,0
20500853,0
20517493,0
20565637,0
20578992,0
20626195,0
20674389,0
20698266,0
20713103,0
20767236,0
20809041,0
20816887,0
20958713,0
20967023,0
21007176,0
21064276,0
21220553,0
21244852,0
21323674,0
21336955,0
21458205,0
21505082,0
21534874,0
21626337,0
21641611,0
21690271,0
21787832,0
21803301,0
21817003,0
21853388,0
21867831,0
21891356,0
22049830,0
22061161,0
22112071,0
22165704,0
22409930,0
22485608,0
22676120,0
22727042,0
22749976,0
22842107,0
22852494,0
22965819,0
22992231,0
23055645,0
23085763,0
23101965,0
23118984,0
23200104,0
23236913,0
23269204,0
23336278,0
23353981,0
23371305,0
23421671,0
23440926,0
23475669,0
23489905,0
23513086,0
23587792,0
23643713,0
23667021,0
23716396,0
23743108,0
23800641,0
23868031,0
23886518,0
23903595,0
23941294,0
24158088,0
24175205,0
24238218,0
24272158,0
24316350,0
24342398,0
24378158,0
24387472,0
24425268,0
24480817,0
24492020,0
24503830,0
24604170,0
24611883,0
24624103,0
24701690,0
24752958,0
24797540,0
24803336,0
24867231,0
24873398,0
25004122,0
25013792,0
25029462,0
25044266,0
25155460,0
25173839,0
25217322,0
25279571,0
25291869,0
25366232,0
25390721,0
25509881,0
25521010,0
25578366,0
25588413,0
25677612,0
25737099,0
25856440,0
25874767,0
26139214,0
26237587,0
26315846,0
26364053,0
26426974,0
26456142,0
26623738,0
26650878,0
26666664,0
26714830,0
26731279,0
26884810,0
26937104,0
26995103,0
27024924,0
27060927,0
27109915,0
27119968,0
27247271,0
27313641,0
27429307,0
27437454,0
27527554,0
27538488,0
27568765,0
27616966,0
27667520,0
27775577,0
27879728,0
27883689,0
27991794,0
28026170,0
28146563,0
28195930,0
28285661,0
28426139,0
28465620,0
28514500,0
28572920,0
28595381,0
28609344,0
28672153,0
28783215,0
28797625,0
28849660,0
28907676,0
28946135,0
28956816,0
29007101,0
29011296,0
29045790,0
29091523,0
29102752,0
29134008,0
29174053,0
29278482,0
29326996,0
29437711,0
29476808,0
29494461,0
29542657,0
29593898,0
29645464,0
29710964,0
29805072,0
30009700,0
30047355,0
30066939,0
30103153,0
30118076,0
30204779,0
30225767,0
30252340,0
30349179,0
30370519,0
30414201,0
30491031,0
30602918,0
30766616,0
30827904,0
30889317,0
30917646,0
31244439,0
31256185,0
31346131,0
31364607,0
31447583,0
31476981,0
31508482,0
31610464,0
31649343,0
31728292,0
31774308,0
31792570,0
31834314,0
31886807,0
31943019,0
31963492,0
31994050,0
32026818,0
32045301,0
